spec,date,count,date_count,freq,year,month
administrator,2016-01-01,233,549,42.44%,2016,01
backend,2016-01-01,165,549,30.05%,2016,01
devops,2016-01-01,15,549,2.73%,2016,01
frontend,2016-01-01,97,549,17.67%,2016,01
game developer,2016-01-01,12,549,2.19%,2016,01
mobile,2016-01-01,27,549,4.92%,2016,01
administrator,2016-02-01,269,567,47.44%,2016,02
backend,2016-02-01,146,567,25.75%,2016,02
devops,2016-02-01,20,567,3.53%,2016,02
frontend,2016-02-01,103,567,18.17%,2016,02
game developer,2016-02-01,1,567,0.18%,2016,02
mobile,2016-02-01,28,567,4.94%,2016,02
administrator,2016-03-01,345,657,52.51%,2016,03
backend,2016-03-01,120,657,18.26%,2016,03
data science,2016-03-01,2,657,0.3%,2016,03
devops,2016-03-01,25,657,3.81%,2016,03
frontend,2016-03-01,126,657,19.18%,2016,03
game developer,2016-03-01,4,657,0.61%,2016,03
mobile,2016-03-01,35,657,5.33%,2016,03
administrator,2016-04-01,367,678,54.13%,2016,04
backend,2016-04-01,155,678,22.86%,2016,04
devops,2016-04-01,12,678,1.77%,2016,04
frontend,2016-04-01,115,678,16.96%,2016,04
game developer,2016-04-01,6,678,0.88%,2016,04
mobile,2016-04-01,23,678,3.39%,2016,04
administrator,2016-05-01,405,755,53.64%,2016,05
backend,2016-05-01,167,755,22.12%,2016,05
data science,2016-05-01,1,755,0.13%,2016,05
devops,2016-05-01,10,755,1.32%,2016,05
frontend,2016-05-01,137,755,18.15%,2016,05
game developer,2016-05-01,3,755,0.4%,2016,05
mobile,2016-05-01,32,755,4.24%,2016,05
administrator,2016-06-01,372,744,50.0%,2016,06
backend,2016-06-01,159,744,21.37%,2016,06
devops,2016-06-01,23,744,3.09%,2016,06
frontend,2016-06-01,141,744,18.95%,2016,06
game developer,2016-06-01,5,744,0.67%,2016,06
mobile,2016-06-01,44,744,5.91%,2016,06
administrator,2016-07-01,378,736,51.36%,2016,07
backend,2016-07-01,160,736,21.74%,2016,07
devops,2016-07-01,15,736,2.04%,2016,07
frontend,2016-07-01,138,736,18.75%,2016,07
game developer,2016-07-01,2,736,0.27%,2016,07
mobile,2016-07-01,43,736,5.84%,2016,07
administrator,2016-08-01,375,747,50.2%,2016,08
backend,2016-08-01,162,747,21.69%,2016,08
devops,2016-08-01,9,747,1.2%,2016,08
frontend,2016-08-01,170,747,22.76%,2016,08
game developer,2016-08-01,3,747,0.4%,2016,08
mobile,2016-08-01,28,747,3.75%,2016,08
administrator,2016-09-01,357,732,48.77%,2016,09
backend,2016-09-01,177,732,24.18%,2016,09
devops,2016-09-01,10,732,1.37%,2016,09
frontend,2016-09-01,141,732,19.26%,2016,09
game developer,2016-09-01,8,732,1.09%,2016,09
mobile,2016-09-01,39,732,5.33%,2016,09
administrator,2016-10-01,372,836,44.5%,2016,10
backend,2016-10-01,145,836,17.34%,2016,10
devops,2016-10-01,8,836,0.96%,2016,10
frontend,2016-10-01,277,836,33.13%,2016,10
game developer,2016-10-01,3,836,0.36%,2016,10
mobile,2016-10-01,31,836,3.71%,2016,10
administrator,2016-11-01,343,688,49.85%,2016,11
backend,2016-11-01,131,688,19.04%,2016,11
devops,2016-11-01,12,688,1.74%,2016,11
frontend,2016-11-01,166,688,24.13%,2016,11
game developer,2016-11-01,2,688,0.29%,2016,11
