spec,date,tags,year,month
administrator,2016-01-01,"[{""tech"": ""windows"", ""freq"": ""55.79%""}, {""tech"": ""sql"", ""freq"": ""53.65%""}, {""tech"": ""server"", ""freq"": ""41.2%""}, {""tech"": ""ip"", ""freq"": ""24.89%""}, {""tech"": ""linux"", ""freq"": ""19.31%""}, {""tech"": ""tcp"", ""freq"": ""15.88%""}, {""tech"": ""dns"", ""freq"": ""14.59%""}, {""tech"": ""unix"", ""freq"": ""9.87%""}, {""tech"": ""directory"", ""freq"": ""9.44%""}, {""tech"": ""xml"", ""freq"": ""8.58%""}]",2016,01
administrator,2016-02-01,"[{""tech"": ""windows"", ""freq"": ""57.62%""}, {""tech"": ""sql"", ""freq"": ""46.84%""}, {""tech"": ""server"", ""freq"": ""29.37%""}, {""tech"": ""ip"", ""freq"": ""22.3%""}, {""tech"": ""linux"", ""freq"": ""19.33%""}, {""tech"": ""dns"", ""freq"": ""17.84%""}, {""tech"": ""tcp"", ""freq"": ""14.5%""}, {""tech"": ""oracle"", ""freq"": ""8.55%""}, {""tech"": ""unix"", ""freq"": ""8.55%""}, {""tech"": ""vpn"", ""freq"": ""7.06%""}]",2016,02
administrator,2016-03-01,"[{""tech"": ""windows"", ""freq"": ""54.49%""}, {""tech"": ""sql"", ""freq"": ""49.28%""}, {""tech"": ""server"", ""freq"": ""30.72%""}, {""tech"": ""linux"", ""freq"": ""20.0%""}, {""tech"": ""ip"", ""freq"": ""17.1%""}, {""tech"": ""dns"", ""freq"": ""14.2%""}, {""tech"": ""tcp"", ""freq"": ""11.59%""}, {""tech"": ""oracle"", ""freq"": ""10.72%""}, {""tech"": ""directory"", ""freq"": ""6.96%""}, {""tech"": ""c"", ""freq"": ""6.38%""}]",2016,03
administrator,2016-04-01,"[{""tech"": ""sql"", ""freq"": ""53.68%""}, {""tech"": ""windows"", ""freq"": ""52.59%""}, {""tech"": ""server"", ""freq"": ""25.61%""}, {""tech"": ""ip"", ""freq"": ""18.26%""}, {""tech"": ""linux"", ""freq"": ""17.17%""}, {""tech"": ""dns"", ""freq"": ""14.71%""}, {""tech"": ""tcp"", ""freq"": ""13.35%""}, {""tech"": ""oracle"", ""freq"": ""8.17%""}, {""tech"": ""excel"", ""freq"": ""7.36%""}, {""tech"": ""directory"", ""freq"": ""6.54%""}]",2016,04
administrator,2016-05-01,"[{""tech"": ""windows"", ""freq"": ""55.06%""}, {""tech"": ""sql"", ""freq"": ""53.33%""}, {""tech"": ""server"", ""freq"": ""33.09%""}, {""tech"": ""ip"", ""freq"": ""17.53%""}, {""tech"": ""linux"", ""freq"": ""14.81%""}, {""tech"": ""dns"", ""freq"": ""13.33%""}, {""tech"": ""tcp"", ""freq"": ""11.85%""}, {""tech"": ""web"", ""freq"": ""8.15%""}, {""tech"": ""oracle"", ""freq"": ""7.9%""}, {""tech"": ""directory"", ""freq"": ""7.41%""}]",2016,05
administrator,2016-06-01,"[{""tech"": ""windows"", ""freq"": ""58.06%""}, {""tech"": ""sql"", ""freq"": ""47.85%""}, {""tech"": ""server"", ""freq"": ""35.75%""}, {""tech"": ""linux"", ""freq"": ""24.46%""}, {""tech"": ""ip"", ""freq"": ""18.28%""}, {""tech"": ""dns"", ""freq"": ""16.67%""}, {""tech"": ""tcp"", ""freq"": ""13.44%""}, {""tech"": ""directory"", ""freq"": ""9.14%""}, {""tech"": ""vpn"", ""freq"": ""9.14%""}, {""tech"": ""oracle"", ""freq"": ""7.8%""}]",2016,06
administrator,2016-07-01,"[{""tech"": ""windows"", ""freq"": ""52.91%""}, {""tech"": ""sql"", ""freq"": ""52.12%""}, {""tech"": ""server"", ""freq"": ""29.63%""}, {""tech"": ""ip"", ""freq"": ""21.16%""}, {""tech"": ""linux"", ""freq"": ""16.4%""}, {""tech"": ""tcp"", ""freq"": ""15.08%""}, {""tech"": ""dns"", ""freq"": ""15.08%""}, {""tech"": ""web"", ""freq"": ""12.43%""}, {""tech"": ""oracle"", ""freq"": ""11.38%""}, {""tech"": ""directory"", ""freq"": ""8.73%""}]",2016,07
administrator,2016-08-01,"[{""tech"": ""sql"", ""freq"": ""55.73%""}, {""tech"": ""windows"", ""freq"": ""51.2%""}, {""tech"": ""server"", ""freq"": ""31.73%""}, {""tech"": ""linux"", ""freq"": ""22.4%""}, {""tech"": ""ip"", ""freq"": ""22.13%""}, {""tech"": ""tcp"", ""freq"": ""18.93%""}, {""tech"": ""oracle"", ""freq"": ""16.53%""}, {""tech"": ""dns"", ""freq"": ""13.07%""}, {""tech"": ""web"", ""freq"": ""9.6%""}, {""tech"": ""excel"", ""freq"": ""7.47%""}]",2016,08
administrator,2016-09-01,"[{""tech"": ""windows"", ""freq"": ""61.34%""}, {""tech"": ""sql"", ""freq"": ""48.74%""}, {""tech"": ""server"", ""freq"": ""32.49%""}, {""tech"": ""ip"", ""freq"": ""25.21%""}, {""tech"": ""linux"", ""freq"": ""21.57%""}, {""tech"": ""tcp"", ""freq"": ""16.53%""}, {""tech"": ""dns"", ""freq"": ""15.97%""}, {""tech"": ""directory"", ""freq"": ""10.08%""}, {""tech"": ""oracle"", ""freq"": ""9.24%""}, {""tech"": ""vpn"", ""freq"": ""8.4%""}]",2016,09
administrator,2016-10-01,"[{""tech"": ""windows"", ""freq"": ""55.65%""}, {""tech"": ""sql"", ""freq"": ""52.42%""}, {""tech"": ""server"", ""freq"": ""27.15%""}, {""tech"": ""linux"", ""freq"": ""21.24%""}, {""tech"": ""ip"", ""freq"": ""20.16%""}, {""tech"": ""tcp"", ""freq"": ""13.71%""}, {""tech"": ""oracle"", ""freq"": ""13.17%""}, {""tech"": ""dns"", ""freq"": ""13.17%""}, {""tech"": ""web"", ""freq"": ""10.22%""}, {""tech"": ""directory"", ""freq"": ""8.06%""}]",2016,10
